greater_rio_grande_title;Greater Rio Grande;;;;;;;;;;;;;x
greater_rio_grande_desc;With our independence from the Centralist government secured, we must strive to expand our reach to the other areas in northern Mexico clamoring for the return of Federalism. We will take them by force if necessary.;;;;;;;;;;;;;x
MEX_2142;Chihuahua;;;;;;;;;;;;;x
MEX_2150;Tamaulipas;;;;;;;;;;;;;x
MEX_2151;Coahuila;;;;;;;;;;;;;x
MEX_2153;Durango;;;;;;;;;;;;;x
khoisan;Bushmen;;;;;;;;;;;;;x
boer;Afrikaner;;;;;;;;;;;;;x
sotho;Basotho;;;;;;;;;;;;;x
EVTNAME37299;The Colony of Libreville;;;;;;;;;;;;;x
EVTDESC37299;Ever since the abolishment of slavery the African population of our country would flock back to the African continent is search of better life and/or freedom. One of the examples of this process is the free colony of Libreville set on the shores of Africa. We might want to take advantage of this and establish a colonial rule there as a long-term investment, or leave the people to their deserved freedom.;;;;;;;;;;;;;x
EVTNAME37238;The 4 sergeants of La Rochelle;Les Quatre sergents de La Rochelle;;;;;;;;;;;;x
EVTDESC37238;In some regiments of the post-napoleonic army, loyalty for the monarchy was doubtful. The 45th Infantry Regiment was one of such, refusing to cheer the king. In 1822, four sergeants were found guilty of having organised a carbonari cell in their regiment and condemned to death. They were guillotined on the 21th september and quickly became martyr for the liberals. As Balzac said "it was the last attempt of the old army against the monarchy".;;;;;;;;;;;;;x
EVTNAME37239;Death of Louis XVIII;Mort de Louis XVIII;;;;;;;;;;;;x
EVTDESC37239;Disliked and even hated in liberal circles and at first in most parts of the military, Louis XVIII was restored on the throne in 1814 and 1815 and granted a constitutional charter. Targeted by songs, pamphlets and jokes, especially among the parisian revolutionaries and liberals, he nonetheless increased his popularity in rural and provincial France. His reign saw stability and order as well as the first true period of peace since 1789. France also experienced its first functional constitutional regime and started to gain a parliamentarian culture. The death of the King was welcomed with concern as his brother and successor was said to be quite reactionary...;;;;;;;;;;;;;x
EVTNAME37240;Charles X's Coronation;Le sacre de Reims;;;;;;;;;;;x
EVTDESC37240;Louis XVIII declined to be crowned, both because of his weak physical state and of political reasons. Despite his age, Charles X was unlike his brother in a most excellent health, a fact that played in his reign's early months popularity. Therefore, as a King more attached to tradition and the old regime pump, Charles X chose to be crowned in Reims. Despite the King's popularity at first, the magnificence of the ceremony and some artists' enthusiasm, the ceremony was met with politeness but not much more... except among liberal circles where concern grew.;;;;;;;;;;;;x
EVTNAME37245;Paris' National Guard dissolution.;Dissolution de la garde nationale de Paris.;;;;;;;;;;;x
EVTDESC37245;French Prime minister was booed during a review of the Parisian National Guard. Subsequently, the King himself was welcomed most coldly. The national guard, as a middle class militia, was seen as an hotbed of agitation. Especially its parisian sections. For the government, such behavior was way too much similar to what happened to Louis XVI in the early 1790's. It choose to act and dissolved the parisian guard... forgetting to take the weapons.;;;;;;;;;;;;x
EVTNAME37246;Billion Act and Anti-sacrilege act;Loi sur le sacrilege;;;;;;;;;;;x
EVTDESC37246;Charles X was rumored to be reactionary and to be wanting to erase what happened between 1789 and his accession. The Anti-sacrilege act made any desacration of sacred objects or vessels an offense punished by death. It was thought as an expiation of revolutionary sacrilege and planed very "old-regimy" punishments. The law was met with an uproar among liberals and a large part of the Catholic but anti-clerical population.;;;;;;;;;;;;x
EVTNAME1000100;Should We Ask USA For Help?;;;;;;;;;;;;;x
EVTDESC1000100;The perspective of our war against Mexico doesn't look too bright. They outnumber us and our independence is only a matter of time. Maybe we could ask our neighbour for help against the Mexicans?;;;;;;;;;;;;;x
EVTNAME1000101;Texas Calls For Help;;;;;;;;;;;;;x
EVTDESC1000101;A diplomat from Texas has reached us with worrying news. Their rights are being violently taken from them and they have turned to us looking for help. Should we lend our helping hand to our fellow Americans?;;;;;;;;;;;;;x
EVTNAME1000200;The New Protector of Eastern Christians;;;;;;;;;;;;;x
EVTDESC1000200;Now that we are powerful enough to hold our own, an important matter rose up regarding our role in the Eastern Christendom. It is a well known fact that the Byzantine Empire for a long time was the center of the Orthodox Church and the Eastern Christendom as a whole. Sadly, we've lost our authority and power due to numerous wars and raids and our title as the protector was taken by an another powerful Orthodox nation known as the Russian Empire. We are glad that they've been doing our work for centuries now, but it's time that we take this title back since it's supposed to be us that should protect the Eastern Christians.;;;;;;;;;;;;x;
EVTNAME1000201;The Orthodox Question;;;;;;;;;;;;;x
EVTDESC1000201;We've been notified that the newly restored Byzantine Empire seeks to recaim its title as the Orthodox Protector. We've taken their duty to continue protecting the Eastern Christendom as a powerful nation within it. Should we stand down and give the title back to its original owner, or should we hold onto it?;;;;;;;;;;;;x;
EVTNAME1000202;The Russian Empire refused!;;;;;;;;;;;;;x
EVTDESC1000202;The fools of The Russian Empire refuted our rightfull claim on the title of the Orthodox Protector. The title is ours by definition and they will pay for denying us our claim.;;;;;;;;;;;;x;
EVTNAME1000203;The Russian Empire accepted!;;;;;;;;;;;;;x
EVTDESC1000203;As we expected, the Russians complied and offered back the title of Eastern Protectors. This is a joyous day for the mighty Empire!;;;;;;;;;;;;x;
EVTNAME1000204;The War is Won!;;;;;;;;;;;;;x
EVTDESC1000204;We have proven in battle that we are truly worth the title we were fighting for. The Russian Empire will have to agree to our demands and our position in the Eastern Christendom will be restored.;;;;;;;;;;;;x;
EVTNAME1000205;The War is Lost!;;;;;;;;;;;;;x
EVTDESC1000205;We have lost the war and forever lost the right to call ourselves the Protectors of Eastern Christendom. The new title owners have proven themselves to be more suitable for this role and we'll have to set our sights elsewhere.;;;;;;;;;;;;x;
EVTNAME1000300;Proposition for a new capital;;;;;;;;;;;;;x
EVTDESC1000300;With our kingdom united once again suggestions started appearing about changing our capital to better suit the united country. Should we change it to a more suitable place or keep things as they are?;;;;;;;;;;;;x;
byzantine_anatolia_title;Byzantine Anatolia;;;;;;;;;;;;;x
byzantine_anatolia_desc;We should restore the proper names of Anatolian provinces.;;;;;;;;;;;;x;
restore_anatolia_title;Restore Anatolia;;;;;;;;;;;;;x
restore_anatolia_desc;We returned Anatolia under Turkish rule and should return the respective names for its provinces.;;;;;;;;;;;;x;
byzantine_armenia_title;Byzantine Armenia;;;;;;;;;;;;;x
byzantine_armenia_desc;The return of Armenian lands should be accompanied with the restoration of their proper names.;;;;;;;;;;;;x;
restore_armenia_not_TUR_title;Restore Armenia;;;;;;;;;;;;;x
restore_armenia_not_TUR_desc;We should restore the Armenian names to the reclaimed provinces.;;;;;;;;;;;;x;
restore_armenia_TUR_title;Restore Armenia;;;;;;;;;;;;;x
restore_armenia_TUR_desc;We returned our Armenian lands and should restore their proper names.;;;;;;;;;;;;x;
byzantine_levant_title;Byzantine Levant;;;;;;;;;;;;;x
byzantine_levant_desc;Levant is ours and its province names should be restored to respective old names.;;;;;;;;;;;;x;
restore_levant_title;Restore Levant;;;;;;;;;;;;;x
restore_levant_desc;Levant is returned and the names of its provinces should be restored.;;;;;;;;;;;;x;
byzantine_egypt_title;Byzanine Egypt;;;;;;;;;;;;;x
byzantine_egypt_desc;Aegyptus has been returned and should be assigned proper province names of old.;;;;;;;;;;;;x;
byzantine_cyrenaica_title;Byzantine Cyrenaica;;;;;;;;;;;;;x
byzantine_cyrenaica_desc;While we advance West we could restore the original names of the provinces of Cyrenaica.;;;;;;;;;;;;x;
byzantine_tripolitania_title;Byzantine Tripolitania;;;;;;;;;;;;;x
byzantine_tripolitania_desc;The Province of Tripolitania should be assigned its proper name as well as its cities.;;;;;;;;;;;;x;
byzantine_tunis_title;Byzantine Tunisia;;;;;;;;;;;;;x
byzantine_tunis_desc;The lands of Carthage is ours, and as a symbol of our victory we should assign proper Roman names to its cities.;;;;;;;;;;;;x;
accept_armenians_title;Accept the Armenians;;;;;;;;;;;;;x
accept_armenians_desc;Armenians proved themselves to be trustworthy allies against our enemies. It would be only better if we accepted them as equals in our realm.;;;;;;;;;;;;x;
declare_lusotropicalism_title;Declare Lusotropicalism;;;;;;;;;;;;;x
declare_lusotropicalism_desc;Lusotropicalism was first used by a Brazilian sociologist Gilberto Freyre to describe the distinctive character of Portuguese imperialism overseas, proposing that the Portuguese were better colonizers than other European nations. It was believed that because of Portugal's warmer climate, and having been inhabited by Celts, Romans, Visigoths, Moors and several other peoples in pre-modern times, the Portuguese were more humane, friendly, and adaptable to other climates and cultures.;;;;;;;;;;;;x;
integrate_pueblo_title;Integrate Pueblo Indians;;;;;;;;;;;;;x
integrate_pueblo_desc;The time has come to integrate the Pueblos in the north into the fabric of our country.;;;;;;;;;;;;x;
integrate_texans_title;Integrate the Texans;;;;;;;;;;;;;x
integrate_texans_desc;The Texans have a similar culture to us and share history with us and now that the Americans have shown that they can't protect them the Texans will have to call their state Tejas and realize that they are infact Mexicans as well.;;;;;;;;;;;;x;
integrate_afro_caribeno_title;Integrate Afro Caribenos;;;;;;;;;;;;;x
integrate_afro_caribeno_desc;The Caribenos have been an integral part of our country for a long time, but their toiling brothers from Africa have yet to be considered such. We will give them the same rights as the Caribenos, even though large parts of the country do not view them as equals.;;;;;;;;;;;;x;
the_port_of_novorossiysk_title;The Port of Novorossiysk;;;;;;;;;;;;;x
the_port_of_novorossiysk_desc;After our conquest of Sudjuk-Kale, an Ottoman port, we've been thinking of rebuilding it to suit our needs an change the name to something more Russian. We'll have to redirect all our naval building efforts in the region towards it.;;;;;;;;;;;;x;
aim_of_byzantine_conquest;Aim of Byzantine conquest;;;;;;;;;;;;;
aim_of_byzantine_conquest_desc;This province is the current target of the Byzantine expansion;;;;;;;;;;;;;
RGO_education_1;Local Education 10%;;;;;;;;;;;;;
RGO_education_2;Local Education 20%;;;;;;;;;;;;;
RGO_education_3;Local Education 30%;;;;;;;;;;;;;
RGO_education_4;Local Education 40%;;;;;;;;;;;;;
RGO_education_5;Local Education 50%;;;;;;;;;;;;;
RGO_education_6;Local Education 60%;;;;;;;;;;;;;
RGO_education_7;Local Education 70%;;;;;;;;;;;;;
RGO_education_8;Local Education 80%;;;;;;;;;;;;;
RGO_education_9;Local Education 90%;;;;;;;;;;;;;
RGO_education_10;Local Education 100%;;;;;;;;;;;;;
RGO_education_0;Local Education 0%;;;;;;;;;;;;;
southern_plantations;Southern Plantations;;;;;;;;;;;;;
ziemia_obiecana_title;Ziemia Obiecana;;;;;;;;;;;;x
ziemia_obiecana_desc;"Ziemia Obiecana" ("Promised Land") was popular term for the city of Lodz - center of polish industrial revolution which population grew from 1000 in 1827 to 500 000 in 1914.;;;;;;;;;;;;;x
ziemia_obiecana;Ziemia Obiecana;;;;;;;;;;;;;
saint_cloud_ordinances_title;The Saint-Cloud Ordinances;Les ordonnances de Saint Cloud;;;;;;;;;;;;
saint_cloud_ordinances_desc;In order to break the political deadlock, unable to gain a reactionary or conservative majority support in the parliament, Charles X choose to violently counter-attack and took 3 ordinances: Suspend the freedom of press, dissolve the parliament and call for a new election, restrict the voting rights.;;;;;;;;;;;;;
